"short_name","overall","potential","value_eur","wage_eur","age","dob","club_name","height_cm","weight_kg","league_name","player_positions","nationality_name","preferred_foot","weak_foot","pace","shooting","passing","dribbling","defending","physic","year","Type"
"J. Bell",62,68,575000,1000,23,"1997-08-26","New England Revolution",185,79,"USA Major League Soccer","CB","United States","Left",1,71,25,37,46,62,71,2022,"DEF"
"E. Sutherland",62,70,9e+05,1000,21,"2000-03-28","Atlético de Madrid",176,70,"Spain Primera Division","RM","England","Right",3,74,54,58,64,27,45,2022,"MID"
"B. Palazzo",62,75,9e+05,2000,20,"2000-11-18","Gimnasia y Esgrima La Plata",184,76,"Argentina Primera División","CB","Argentina","Right",3,55,30,43,44,62,68,2022,"DEF"
"L. Mbete",62,82,1e+06,700,17,"2003-09-18","Manchester City",185,78,"English Premier League","CB","England","Left",3,65,32,47,57,61,66,2022,"DEF"
"Hélder Sá",62,77,875000,550,18,"2002-11-10","Vitória de Guimarães",186,75,"Portuguese Liga ZON SAGRES","LB","Portugal","Left",3,66,36,58,63,58,57,2022,"DEF"
"R. González",62,72,825000,500,20,"2000-07-23","Club Libertad",172,68,"Paraguayan Primera División","RB","Paraguay","Right",3,70,44,56,56,58,55,2022,"DEF"
"F. Peraza",62,62,4e+05,500,28,"1992-07-27","Club Atlético Rentistas",184,78,"Uruguayan Primera División","ST","Uruguay","Right",3,60,62,47,52,37,67,2022,"FRD"
"J. Eseiza",62,73,825000,1000,19,"2002-02-16","Club Atlético Banfield",185,74,"Argentina Primera División","LWB","Argentina","Left",2,62,33,49,57,63,65,2022,"DEF"
"O. Stanisic",62,64,425000,750,27,"1994-02-10","Varbergs BoIS FC",195,83,"Swedish Allsvenskan","CB","Sweden","Right",3,62,31,41,47,61,73,2022,"DEF"
"A. Kalogeropoulos",62,82,1e+06,500,16,"2004-07-26","Olympiacos CFP",187,75,"Greek Super League","CB","Greece","Right",3,68,33,48,49,63,66,2022,"DEF"
"T. Livramento",62,80,975000,2000,18,"2002-11-12","Southampton",173,65,"English Premier League","RB","England","Right",4,79,46,56,58,56,58,2022,"DEF"
"N. Garayalde",62,71,9e+05,2000,21,"1999-07-21","Vélez Sarsfield",182,76,"Argentina Primera División","CM","Argentina","Right",4,65,53,65,62,45,48,2022,"MID"
"A. Richardson",62,73,8e+05,850,19,"2002-01-24","Le Havre AC",190,77,"French Ligue 2","CDM","France","Right",3,59,43,57,61,56,64,2022,"MID"
"A. Sangante",62,75,875000,850,19,"2002-04-12","Le Havre AC",182,75,"French Ligue 2","CB","Senegal","Right",3,58,31,47,48,62,66,2022,"DEF"
"J. Braut-Brunes",62,71,875000,950,20,"2000-08-07","Lillestrøm SK",188,78,"Norwegian Eliteserien","ST","Norway","Left",3,72,59,54,64,41,67,2022,"FRD"
"Diego Guti",62,74,9e+05,1000,20,"2000-09-03","Unión Deportiva Las Palmas",171,68,"Spanish Segunda División","CDM","Spain","Right",3,62,44,56,62,61,56,2022,"MID"
"S. Guibert",62,62,250000,1000,32,"1989-01-22","SC Bastia",188,82,"French Ligue 2","CB","France","Left",3,41,47,51,53,61,70,2022,"DEF"
"S. Belkorchia",62,65,475000,1000,26,"1995-01-25","US Quevilly Rouen Métropole",180,74,"French Ligue 2","LB","Algeria","Left",2,56,33,51,48,59,56,2022,"DEF"
"F. Jaritz",62,65,5e+05,2000,23,"1997-10-18","SK Austria Klagenfurt",180,60,"Austrian Football Bundesliga","LB","Austria","Left",3,61,52,58,62,58,57,2022,"DEF"
"I. Saravanja",62,65,475000,2000,24,"1996-08-24","SK Austria Klagenfurt",188,72,"Austrian Football Bundesliga","CB","Croatia","Left",3,54,32,51,47,63,57,2022,"DEF"
"J. Idzes",62,72,850000,1000,21,"2000-06-02","Go Ahead Eagles",190,78,"Holland Eredivisie","CDM","Netherlands","Right",3,61,46,57,55,59,66,2022,"MID"
"Sergi Cardona",62,69,775000,1000,21,"1999-07-08","Unión Deportiva Las Palmas",186,76,"Spanish Segunda División","LB","Spain","Left",3,61,35,48,58,61,53,2022,"DEF"
"Córdoba",62,67,525000,1000,26,"1995-05-21","Burgos CF",181,73,"Spanish Segunda División","CB","Spain","Right",3,58,34,43,47,65,55,2022,"DEF"
"Iker Bilbao",62,66,550000,2000,25,"1996-03-20","SD Amorebieta",182,77,"Spanish Segunda División","CM","Spain","Right",3,59,53,63,61,55,66,2022,"MID"
"Dani Garrido",62,72,9e+05,1000,21,"2000-01-19","Real Sociedad B",170,70,"Spanish Segunda División","CM","Spain","Right",3,58,50,61,62,57,55,2022,"MID"
"N. García",62,71,875000,500,20,"2000-10-05","Club Atlético Peñarol",185,78,"Uruguayan Primera División","ST","Uruguay","Right",3,68,62,51,61,26,55,2022,"FRD"
"T. Gunte",62,67,550000,700,24,"1997-04-11","FC Viktoria 1889 Berlin",194,82,"German 3. Bundesliga","CB","Germany","Right",2,55,33,41,44,61,73,2022,"DEF"
"S. Juric",62,66,525000,5000,24,"1996-08-16","Parma",189,83,"Italian Serie B","CDM","Croatia","Right",2,58,40,54,56,62,67,2022,"MID"
"M. Jovicic",62,65,450000,2000,26,"1995-01-26","SV Ried",187,83,"Austrian Football Bundesliga","CB","Serbia","Right",2,63,37,41,40,62,73,2022,"DEF"
"S. Aigner",62,73,825000,2000,20,"2001-01-03","SC Rheindorf Altach",180,72,"Austrian Football Bundesliga","CDM","Austria","Right",3,66,41,55,61,57,64,2022,"MID"
"L. Herrmann",62,70,9e+05,3000,22,"1999-02-20","SG Dynamo Dresden",176,71,"German 2. Bundesliga","CM","Germany","Right",3,66,52,68,62,49,64,2022,"MID"
"E. Kehrer",62,73,875000,650,19,"2002-03-20","SC Freiburg II",171,65,"German 3. Bundesliga","ST","Germany","Right",3,58,64,46,65,25,57,2022,"FRD"
"M. Kaput",62,67,550000,800,23,"1998-02-18","Radomiak Radom",185,76,"Polish T-Mobile Ekstraklasa","CDM","Poland","Right",2,59,42,57,53,58,64,2022,"MID"
"M. Bezpalec",62,66,525000,1000,24,"1996-08-19","Bruk-Bet Termalica Nieciecza",182,77,"Polish T-Mobile Ekstraklasa","CB","Czech Republic","Right",2,68,34,52,52,61,66,2022,"DEF"
"M. Bokele",62,71,825000,3000,21,"2000-02-12","FC Girondins de Bordeaux",180,70,"French Ligue 1","CB","France","Right",2,62,30,36,42,66,59,2022,"DEF"
"V. Meien",62,68,575000,500,23,"1998-03-05","TSV Havelse",186,79,"German 3. Bundesliga","CDM","Germany","Right",3,64,47,55,58,61,71,2022,"MID"
"F. Strauss",62,73,825000,2000,20,"2001-03-26","SC Rheindorf Altach",186,80,"Austrian Football Bundesliga","CDM","Austria","Right",4,70,40,55,57,59,72,2022,"MID"
"W. Mejía",62,70,9e+05,7000,22,"1999-04-21","Club Atlético de San Luis",183,74,"Mexican Liga MX","CM","Mexico","Right",3,68,52,66,65,49,59,2022,"MID"
"F. Higl",62,68,625000,1000,24,"1997-01-08","VfL Osnabrück",194,83,"German 3. Bundesliga","ST","Germany","Left",3,64,61,50,58,27,69,2022,"FRD"
"L. Kunze",62,68,625000,1000,23,"1998-06-14","VfL Osnabrück",189,81,"German 3. Bundesliga","CM","Germany","Right",3,68,52,55,63,57,72,2022,"MID"
"J. Ceka",62,71,9e+05,750,21,"1999-11-10","1. FC Magdeburg",169,63,"German 3. Bundesliga","CAM","Germany","Left",4,78,59,56,67,25,48,2022,"MID"
"V. Sapina",62,65,475000,550,26,"1995-06-29","Sportclub Verl",194,84,"German 3. Bundesliga","CDM","Germany","Right",3,58,32,54,48,62,74,2022,"MID"
"Y. Engelhardt",62,74,9e+05,2000,20,"2001-02-07","SC Freiburg II",184,77,"German 3. Bundesliga","CDM","Germany","Right",3,66,45,57,60,58,65,2022,"MID"
"M. Gajic",62,63,375000,2000,29,"1992-03-10","FC U Craiova 1948",190,80,"Romanian Liga I","CB","Serbia","Right",2,58,31,48,42,60,77,2022,"DEF"
"E. Wild",62,70,850000,3000,21,"1999-09-27","LASK Linz",176,66,"Austrian Football Bundesliga","LB","Switzerland","Left",2,75,51,57,63,57,55,2022,"DEF"
"L. Görlich",62,72,850000,1000,21,"2000-04-01","Eintracht Braunschweig",181,76,"German 3. Bundesliga","RB","Germany","Right",3,68,40,54,58,57,61,2022,"DEF"
"Unai Rementería",62,69,8e+05,1000,21,"1999-08-10","CD Mirandés",182,80,"Spanish Segunda División","CM","Spain","Left",3,67,56,60,57,61,67,2022,"MID"
"L. Krekovic",62,70,9e+05,2000,21,"2000-05-07","K Beerschot VA",182,76,"Belgian Jupiler Pro League","LW","Croatia","Left",5,74,59,61,62,47,65,2022,"FRD"
"Fabio Blanco",62,83,1200000,600,17,"2004-02-18","Eintracht Frankfurt",179,71,"German 1. Bundesliga","RM","Spain","Right",3,73,56,55,66,28,46,2022,"MID"
"Y. Jaeschke",62,63,475000,550,27,"1993-10-20","TSV Havelse",184,79,"German 3. Bundesliga","ST","Germany","Right",3,66,63,52,59,32,67,2022,"FRD"
"L. Meyer",62,62,4e+05,550,29,"1992-01-07","TSV Havelse",185,78,"German 3. Bundesliga","CAM","Germany","Right",3,73,60,60,65,29,59,2022,"MID"
"T. Zimmerschied",62,71,9e+05,850,22,"1998-09-22","Hallescher FC",180,76,"German 3. Bundesliga","RM","Germany","Right",4,69,56,57,65,35,56,2022,"MID"
"S. Güler",62,65,450000,3000,26,"1994-11-30","Adana Demirspor",184,83,"Turkish Süper Lig","CB","Turkey","Right",3,61,36,47,48,61,73,2022,"DEF"
"K. Faber",62,68,625000,2000,23,"1997-11-04","SSV Jahn Regensburg",179,69,"German 2. Bundesliga","RM","Germany","Right",2,69,54,58,66,42,57,2022,"MID"
"J. Sambu Mansoni",62,66,525000,3000,25,"1996-06-03","Seraing",185,78,"Belgian Jupiler Pro League","RB","Belgium","Right",3,76,57,53,60,55,70,2022,"DEF"
"T. Dombrowa",62,67,6e+05,500,21,"1999-07-24","SV Meppen",170,70,"German 3. Bundesliga","LM","Germany","Right",3,72,60,59,66,25,41,2022,"MID"
"B. Ametov",62,68,650000,500,22,"1998-11-07","SV Meppen",179,70,"German 3. Bundesliga","LM","Germany","Right",4,74,60,52,65,23,53,2022,"MID"
"J. Fedl",62,69,750000,500,22,"1999-02-05","SV Meppen",188,74,"German 3. Bundesliga","CB","Germany","Right",3,60,26,39,46,63,64,2022,"DEF"
"M. Wallner",62,67,6e+05,2000,24,"1996-10-27","WSG Tirol",184,72,"Austrian Football Bundesliga","LW","Austria","Left",3,78,62,54,63,28,55,2022,"FRD"
"G. Miceli",62,69,750000,2000,23,"1997-09-18","Club Atlético Banfield",169,66,"Argentina Primera División","CDM","Argentina","Right",4,65,40,62,64,57,50,2022,"MID"
"K. Autonne",62,72,825000,500,20,"2000-09-22","Al Ain FC",184,83,"UAE Arabian Gulf League","CB","Côte d'Ivoire","Left",2,71,27,47,48,61,74,2022,"DEF"
"Patrick",62,67,6e+05,2000,23,"1998-05-11","FC Flyeralarm Admira",180,70,"Austrian Football Bundesliga","LW","Brazil","Left",3,71,62,65,62,35,58,2022,"FRD"
"Ángel López",62,74,875000,550,18,"2003-02-17","Real Zaragoza",176,70,"Spanish Segunda División","RB","Spain","Right",3,76,36,51,60,58,63,2022,"DEF"
"L. Lobato",62,73,875000,2000,20,"2001-01-03","Vélez Sarsfield",174,70,"Argentina Primera División","LW","Brazil","Right",4,72,60,52,68,30,51,2022,"FRD"
"P. Banaszak",62,66,575000,950,24,"1997-05-10","Górnik Leczna",187,78,"Polish T-Mobile Ekstraklasa","ST","Poland","Right",3,81,59,50,59,18,70,2022,"FRD"
"A. Trubeha",62,65,550000,2000,23,"1997-11-20","Jagiellonia Bialystok",186,75,"Polish T-Mobile Ekstraklasa","ST","Poland","Right",3,62,62,42,59,19,60,2022,"FRD"
"D. O'Connor",62,70,825000,1000,21,"1999-08-05","Motherwell",189,86,"Scottish Premiership","CB","Republic of Ireland","Right",4,64,28,45,37,64,66,2022,"DEF"
"N. Piwernetz",62,69,775000,500,21,"2000-04-03","TSV Havelse",176,72,"German 3. Bundesliga","LWB","Germany","Left",2,71,31,44,60,61,61,2022,"DEF"
"G. Kokhreidze",62,70,9e+05,1000,22,"1998-11-18","Grenoble Foot 38",171,73,"French Ligue 2","CAM","Georgia","Right",3,75,57,61,62,44,48,2022,"MID"
"Volnei Feltes",62,72,825000,1000,21,"2000-04-15","Estoril Praia",188,80,"Portuguese Liga ZON SAGRES","CB","Brazil","Right",2,58,32,33,37,63,66,2022,"DEF"
"N. Skyttä",62,74,950000,900,19,"2002-05-07","Toulouse Football Club",170,69,"French Ligue 2","CAM","Finland","Left",2,68,48,65,64,43,49,2022,"MID"
"D. Theodorou",62,68,625000,500,23,"1997-09-10","APOEL Nicosia FC",175,69,"Cypriot First Division","LW","Cyprus","Right",3,67,60,53,63,21,43,2022,"FRD"
"N. Michelis",62,74,9e+05,4000,20,"2001-03-23","Willem II",192,79,"Holland Eredivisie","CB","Greece","Left",3,59,32,42,36,63,63,2022,"DEF"
"R. Lavia",62,85,1200000,700,17,"2004-01-06","Manchester City",181,75,"English Premier League","CDM","Belgium","Right",3,58,41,52,59,62,59,2022,"MID"
"Jójó",62,68,575000,950,20,"2001-05-19","Belenenses SAD",186,80,"Portuguese Liga ZON SAGRES","RB","Portugal","Right",2,69,32,42,58,59,67,2022,"DEF"
"Bastida",62,80,950000,500,17,"2004-05-12","Cádiz CF",170,70,"Spain Primera Division","CDM","Spain","Right",3,59,40,54,54,62,55,2022,"MID"
"Pernambuco",62,71,875000,1000,23,"1998-04-28","FK Bodø/Glimt",187,73,"Norwegian Eliteserien","LW","Brazil","Left",2,75,56,53,66,26,48,2022,"FRD"
"H. Lawrence",62,78,1e+06,850,19,"2001-09-21","AFC Wimbledon",178,76,"English League One","RB","England","Right",4,75,44,52,60,57,62,2022,"DEF"
"Edu Martínez",62,70,9e+05,1000,22,"1999-04-12","FC Cartagena",180,70,"Spanish Segunda División","CAM","Spain","Left",3,63,62,59,63,42,45,2022,"MID"
"D. Domgjoni",62,68,575000,2000,24,"1997-05-21","FC Luzern",190,84,"Swiss Super League","CB","Kosovo","Right",3,65,35,51,39,64,64,2022,"DEF"
"N. Pennington",62,69,8e+05,900,22,"1998-12-18","Wellington Phoenix",182,74,"Australian Hyundai A-League","CM","Italy","Right",2,58,51,59,59,59,65,2022,"MID"
"Pedro Malheiro",62,70,825000,2000,20,"2001-01-21","Boavista FC",179,66,"Portuguese Liga ZON SAGRES","RB","Portugal","Right",3,73,55,54,65,55,49,2022,"DEF"
"Vitinha",62,72,9e+05,2000,21,"2000-03-15","SC Braga",178,74,"Portuguese Liga ZON SAGRES","ST","Portugal","Right",3,63,64,44,57,27,59,2022,"FRD"
"M. Høyland",62,67,525000,850,25,"1995-09-17","Stabæk Fotball",185,77,"Norwegian Eliteserien","CDM","Norway","Right",3,58,45,54,53,58,70,2022,"MID"
"T. De Barr",62,69,825000,2000,21,"2000-03-13","Wycombe Wanderers",175,74,"English League One","ST","Gibraltar","Right",3,83,57,57,65,29,63,2022,"FRD"
"Sana Gomes",62,72,8e+05,500,18,"2002-07-09","Portimonense SC",180,70,"Portuguese Liga ZON SAGRES","LB","Guinea Bissau","Left",2,69,33,47,60,58,61,2022,"DEF"
"S. Baghdadi",62,66,575000,2000,23,"1997-07-11","Fortuna Sittard",189,80,"Holland Eredivisie","ST","France","Right",3,65,60,55,61,23,57,2022,"FRD"
"Antony",62,77,950000,900,19,"2001-09-08","FC Arouca",183,73,"Portuguese Liga ZON SAGRES","CAM","Brazil","Right",3,76,48,60,70,38,49,2022,"MID"
"S. Edozie",62,82,1100000,7000,18,"2003-01-28","Manchester City",167,71,"English Premier League","LW","England","Right",2,75,55,55,65,28,47,2022,"FRD"
"S. Babkin",62,77,925000,3000,18,"2002-09-25","FC Lokomotiv Moscow",176,62,"Russian Premier League","CM","Russia","Right",3,67,53,59,61,52,51,2022,"MID"
"Lucas Esteves",62,67,575000,1000,21,"2000-06-24","Colorado Rapids",170,67,"USA Major League Soccer","LB","Brazil","Left",3,73,42,59,64,58,51,2022,"DEF"
"Paco Puertas",62,69,725000,1000,25,"1995-11-07","Burgos CF",184,74,"Spanish Segunda División","CB","Spain","Left",3,61,34,42,46,65,58,2022,"DEF"
"Jája Silva",62,66,575000,2000,22,"1998-11-12","FC Botosani",175,70,"Romanian Liga I","LW","Brazil","Right",3,77,55,55,68,32,44,2022,"FRD"
"Alan Godoy",62,79,1e+06,2000,18,"2003-05-04","Deportivo Alavés",178,70,"Spain Primera Division","ST","Spain","Right",3,76,60,48,66,31,49,2022,"FRD"
"Álvaro Bravo",62,70,875000,4000,23,"1998-02-04","Granada CF",182,67,"Spain Primera Division","CM","Spain","Right",3,64,54,62,65,51,54,2022,"MID"
"Marcos",62,70,9e+05,1000,22,"1999-04-02","UD Ibiza",160,60,"Spanish Segunda División","CAM","Spain","Right",3,75,49,63,64,44,38,2022,"MID"
"R. Flueras",62,72,9e+05,2000,22,"1999-01-13","UD Ibiza",180,70,"Spanish Segunda División","ST","Romania","Right",3,85,62,50,66,22,54,2022,"FRD"
"Kevin",62,77,950000,1000,20,"2001-02-26","Málaga CF",173,67,"Spanish Segunda División","LM","Spain","Left",5,75,53,57,67,33,48,2022,"MID"
"Y. Baas",62,75,875000,750,18,"2003-03-17","Ajax",182,73,"Holland Eredivisie","LB","Netherlands","Left",2,68,34,54,60,60,56,2022,"DEF"
"David Cuenca",62,77,9e+05,10000,19,"2002-04-05","Unión Deportiva Almería",180,70,"Spanish Segunda División","LB","Spain","Left",3,75,42,52,57,57,56,2022,"DEF"
"H. Camara",62,76,875000,850,19,"2002-01-17","En Avant de Guingamp",197,85,"French Ligue 2","CB","France","Left",3,56,32,48,48,60,68,2022,"DEF"
"D. van der Kust",62,73,825000,2000,20,"2001-04-30","FC Utrecht",178,70,"Holland Eredivisie","LB","Netherlands","Left",3,80,36,48,60,57,56,2022,"DEF"
"S. Ahmed",62,62,425000,500,26,"1994-08-17","Al Ain FC",178,70,"UAE Arabian Gulf League","LM","United Arab Emirates","Left",4,73,49,57,62,57,62,2022,"MID"
"B. Young",62,80,1e+06,5000,18,"2003-01-06","Carlisle United",185,73,"English League Two","ST","England","Right",3,83,61,49,62,23,62,2022,"FRD"
"Alexandre Penetra",62,74,875000,900,19,"2001-09-09","Futebol Clube de Famalicão",186,79,"Portuguese Liga ZON SAGRES","CB","Portugal","Right",2,62,29,45,40,66,55,2022,"DEF"
"M. Sponsel",62,77,9e+05,2000,19,"2002-02-28","1. FC Köln",189,81,"German 1. Bundesliga","RB","Germany","Right",3,64,43,56,57,60,65,2022,"DEF"
"K. Zedadka",62,71,9e+05,2000,21,"2000-06-09","Royal Charleroi S.C.",182,67,"Belgian Jupiler Pro League","LM","France","Right",3,72,53,58,63,48,53,2022,"MID"
"P. Strompf",62,68,575000,1000,23,"1998-04-23","Eintracht Braunschweig",194,91,"German 3. Bundesliga","CB","Germany","Left",3,48,31,39,42,61,74,2022,"DEF"
"Rodrigo Valente",62,71,875000,1000,20,"2001-02-15","Estoril Praia",173,65,"Portuguese Liga ZON SAGRES","CAM","Portugal","Right",2,69,60,57,67,41,50,2022,"MID"
"S. Canestrelli",62,71,825000,2000,20,"2000-09-11","Crotone",192,81,"Italian Serie B","CB","Italy","Right",3,60,31,39,36,64,67,2022,"DEF"
"A. Taiwo",62,70,9e+05,3000,22,"1998-08-05","SønderjyskE",185,80,"Danish Superliga","ST","Nigeria","Right",3,72,60,45,61,23,64,2022,"FRD"
"S. Siatravanis",62,62,4e+05,700,28,"1992-11-24","Newcastle Jets",172,70,"Australian Hyundai A-League","RM","Greece","Right",3,68,58,60,63,36,50,2022,"MID"
"C. Abastoflor",62,77,950000,500,19,"2001-09-18","Club The Strongest",178,73,"Liga de Fútbol Profesional Boliviano","CAM","Bolivia","Right",3,66,58,59,64,53,60,2022,"MID"
"L. Chávez",62,70,9e+05,500,21,"2000-06-10","Club Universitario de Deportes",175,71,"Peruvian Primera División","LM","Peru","Left",3,71,56,60,61,48,56,2022,"MID"
"V. Yakovlev",62,75,950000,5000,19,"2002-02-14","PFC CSKA Moscow",185,77,"Russian Premier League","ST","Russia","Right",4,64,64,46,60,22,52,2022,"FRD"
"I. Basafa",62,62,350000,550,29,"1992-01-03","Bengaluru FC",187,80,"Indian Super League","CDM","Iran","Right",3,48,54,55,53,60,70,2022,"MID"
"D. Djuric",61,61,1e+05,700,36,"1984-09-16","Halmstads BK",181,76,"Swedish Allsvenskan","CM","Sweden","Right",4,54,58,64,61,47,61,2022,"MID"
"B. Rotenberg",61,61,1e+05,5000,35,"1986-05-19","FC Lokomotiv Moscow",188,84,"Russian Premier League","RB","Finland","Right",1,65,38,52,50,63,62,2022,"DEF"
"G. Evans",61,61,2e+05,4000,33,"1988-04-26","Bradford City",183,80,"English League Two","LM","England","Right",4,63,59,58,62,56,73,2022,"MID"
"M. Andersen",61,61,130000,700,35,"1986-05-28","Tromsø IL",179,71,"Norwegian Eliteserien","RM","Norway","Right",3,64,58,59,60,45,63,2022,"MID"
"E. Nolan",61,61,210000,500,32,"1988-08-05","Waterford FC",185,77,"Rep. Ireland Airtricity League","CB","Republic of Ireland","Right",4,52,38,50,55,61,71,2022,"DEF"
"G. Liddle",61,61,90000,2000,35,"1986-06-15","Hartlepool United",185,79,"English League Two","CB","England","Right",3,51,45,53,53,59,73,2022,"DEF"
"R. Milsom",61,61,120000,2000,34,"1987-01-02","Sutton United",179,72,"English League Two","LB","England","Left",2,64,54,58,59,57,73,2022,"DEF"
"E. Nouri",61,61,90000,550,35,"1985-07-22","Kalmar FF",181,75,"Swedish Allsvenskan","CB","Azerbaijan","Right",4,60,43,52,57,58,70,2022,"DEF"
"J. McNulty",61,61,60000,1000,36,"1985-02-13","Rochdale",183,77,"English League Two","CB","Scotland","Left",2,32,38,54,55,60,59,2022,"DEF"
"C. Gauseth",61,61,1e+05,650,37,"1984-06-26","Mjøndalen IF",189,87,"Norwegian Eliteserien","CM","Norway","Right",3,32,57,57,58,50,75,2022,"MID"
"A. Mehmeti",61,61,275000,1000,31,"1989-11-20","Örebro SK",184,79,"Swedish Allsvenskan","ST","Albania","Right",2,57,62,51,56,30,68,2022,"FRD"
"S. Brisley",61,61,220000,500,31,"1990-05-06","Wrexham AFC",188,77,"English National League","CB","England","Right",3,42,30,38,36,61,69,2022,"DEF"
"T. Ricketts",61,61,210000,2000,33,"1987-08-06","Vancouver Whitecaps FC",180,77,"USA Major League Soccer","ST","Canada","Right",1,85,60,47,52,22,59,2022,"FRD"
"Kwak Kwang Sun",61,61,90000,700,35,"1986-03-28","GwangJu FC",186,76,"Korean K League 1","CB","Korea Republic","Left",3,40,54,54,55,59,72,2022,"DEF"
"P. Wojciechowski",61,61,275000,1000,31,"1990-04-24","Górnik Leczna",181,67,"Polish T-Mobile Ekstraklasa","ST","Poland","Right",4,73,60,55,61,31,56,2022,"FRD"
"O. Malik",61,61,275000,1000,30,"1990-09-30","Perth Glory",185,75,"Australian Hyundai A-League","CB","Australia","Right",3,67,37,56,57,58,70,2022,"DEF"
"M. Daushvili",61,61,220000,500,32,"1989-05-01","APOEL Nicosia FC",176,72,"Cypriot First Division","CDM","Georgia","Right",3,61,35,56,54,56,57,2022,"MID"
"D. Schmidt",61,61,110000,1000,34,"1987-07-01","MSV Duisburg",187,82,"German 3. Bundesliga","CB","Germany","Right",3,37,32,49,49,58,74,2022,"DEF"
"F. Nouble",61,61,325000,3000,29,"1991-09-24","Colchester United",190,82,"English League Two","ST","England","Right",4,73,60,49,58,41,78,2022,"FRD"
"M. Bodzioch",61,61,220000,850,31,"1990-06-04","Radomiak Radom",190,82,"Polish T-Mobile Ekstraklasa","CB","Poland","Left",3,54,42,49,48,58,68,2022,"DEF"
"Airam Cabrera",61,61,210000,500,33,"1987-10-21","FC Goa",180,78,"Indian Super League","ST","Spain","Left",3,57,61,55,60,26,67,2022,"FRD"
"J. Proctor",61,61,325000,3000,29,"1992-03-25","Port Vale",188,78,"English League Two","ST","England","Right",3,60,60,54,60,31,67,2022,"FRD"
"K. Ward",61,61,325000,700,30,"1990-10-12","Bohemian FC",168,65,"Rep. Ireland Airtricity League","CAM","Republic of Ireland","Right",4,67,58,60,62,48,58,2022,"MID"
"B. Hamill",61,61,275000,2000,28,"1992-09-18","Melbourne Victory",185,79,"Australian Hyundai A-League","CB","Australia","Right",3,52,41,49,48,59,66,2022,"DEF"
"J. Reckord",61,61,3e+05,500,29,"1992-03-09","Wrexham AFC",178,83,"English National League","LWB","England","Left",3,74,41,52,58,57,66,2022,"DEF"
"D. Lafferty",61,61,230000,550,32,"1989-05-18","Derry City",180,76,"Rep. Ireland Airtricity League","LWB","Northern Ireland","Left",3,58,52,56,57,60,63,2022,"DEF"
"J. Mendes",61,61,325000,1000,30,"1991-03-30","Chamois Niortais Football Club",186,80,"French Ligue 2","ST","Guinea Bissau","Right",3,76,59,52,59,35,72,2022,"FRD"
"B. Stokke",61,61,325000,950,30,"1990-08-20","Mjøndalen IF",191,90,"Norwegian Eliteserien","ST","Norway","Left",3,47,62,51,56,36,74,2022,"FRD"
"C. Kouakou",61,63,4e+05,1000,26,"1995-04-20","IK Sirius",180,75,"Swedish Allsvenskan","ST","Sweden","Right",3,75,60,43,60,23,59,2022,"FRD"
"V. Ljung",61,61,275000,850,30,"1991-04-19","Halmstads BK",185,80,"Swedish Allsvenskan","LB","Sweden","Right",4,68,36,54,58,55,62,2022,"DEF"
"E. Hewitt",61,62,325000,3000,27,"1994-05-30","Mansfield Town",180,75,"English League Two","CB","Wales","Right",3,72,52,57,62,59,70,2022,"DEF"
"B. Cevahir",61,61,3e+05,2000,29,"1992-02-13","Atakas Hatayspor",180,75,"Turkish Süper Lig","LB","Turkey","Left",3,52,47,57,55,61,54,2022,"DEF"
"L. Krasniqi",61,61,325000,500,29,"1992-01-01","Odisha FC",192,90,"Indian Super League","CAM","Malaysia","Right",3,69,52,53,67,43,65,2022,"MID"
"J. Allansson",61,61,325000,950,28,"1992-11-03","Halmstads BK",175,69,"Swedish Allsvenskan","CM","Sweden","Right",3,57,47,62,65,52,63,2022,"MID"
"J. White",61,61,325000,2000,29,"1992-02-04","Ross County FC",193,77,"Scottish Premiership","ST","Scotland","Right",3,53,61,48,56,28,69,2022,"FRD"
"P. Barrett",61,63,350000,650,27,"1993-07-22","St. Patrick's Athletic",182,75,"Rep. Ireland Airtricity League","CB","Republic of Ireland","Right",2,57,42,43,49,58,74,2022,"DEF"
"L. Erwin",61,61,350000,2000,27,"1994-03-19","St. Mirren",188,79,"Scottish Premiership","ST","Scotland","Right",3,67,61,50,61,27,63,2022,"FRD"
"F. Modelski",61,61,3e+05,2000,28,"1992-09-28","Bruk-Bet Termalica Nieciecza",181,73,"Polish T-Mobile Ekstraklasa","RWB","Poland","Right",3,71,32,52,54,57,64,2022,"DEF"
"A. Obileye",61,62,350000,1000,26,"1994-09-02","Livingston FC",191,84,"Scottish Premiership","CB","England","Right",3,67,49,52,53,59,72,2022,"DEF"
"T. Dieng",61,61,325000,3000,29,"1992-04-09","Exeter City",189,79,"English League Two","CM","France","Right",2,64,56,55,59,60,76,2022,"MID"
"O. Sveen",61,61,275000,900,31,"1990-01-05","Mjøndalen IF",181,77,"Norwegian Eliteserien","CM","Norway","Right",4,75,59,56,61,56,67,2022,"MID"
"L. James",61,62,4e+05,2000,26,"1994-11-04","Barrow",183,80,"English League Two","ST","England","Right",3,76,59,50,61,36,70,2022,"FRD"
"G. Holohan",61,61,325000,3000,29,"1991-12-15","Hartlepool United",180,75,"English League Two","CM","Republic of Ireland","Right",3,72,54,60,63,50,60,2022,"MID"
